[  232.008425][ T1662]  </TASK>
[  232.010359][ T1662] irq event stamp: 164559
[  232.012790][ T1662] hardirqs last  enabled at (164777): [<ffffffff9989ddbe>] __up_console_sem+0xae/0xc0
[  232.013759][ T3950] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  232.016065][ T1662] hardirqs last disabled at (164791): [<ffffffff9970f6b4>] handle_softirqs+0x6a4/0x870
[  232.019177][ T3950] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  232.021711][ T1662] softirqs last  enabled at (164806): [<ffffffff9970f554>] handle_softirqs+0x544/0x870
[  232.027419][ T1662] softirqs last disabled at (164801): [<ffffffff9971120e>] irq_exit_rcu+0xee/0x140
[  232.030643][ T1662] ---[ end trace 0000000000000000 ]---
[  232.032991][ T1662]  (null): radio-mr800 - initialization failed
[  232.035322][ T1662] radio-mr800 1-1:128.48: probe with driver radio-mr800 failed with error -71
[  232.045696][ T1662] usb 1-1: USB disconnect, device number 63
[  232.081683][ T3952] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  232.085158][ T3952] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  232.147155][ T3954] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  232.150545][ T3954] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  232.224003][ T3957] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  232.227429][ T3957] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  232.313491][ T3960] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  232.317642][ T3960] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  232.442703][   T69] usb 1-1: new high-speed USB device number 64 using dummy_hcd
[  232.498817][ T3962] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  232.507158][ T3962] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  232.528679][ T3964] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  232.532811][ T3964] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  232.556805][ T3966] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  232.559926][ T3966] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  232.576688][   T69] usb 1-1: unable to get BOS descriptor or descriptor too short
[  232.581367][   T69] usb 1-1: config 128 has an invalid interface number: 48 but max is 0
[  232.584236][   T69] usb 1-1: config 128 contains an unexpected descriptor of type 0x1, skipping
[  232.587280][   T69] usb 1-1: config 128 has no interface number 0
[  232.589723][   T69] usb 1-1: config 128 interface 48 altsetting 138 endpoint 0x8B has invalid wMaxPacketSize 0
[  232.593125][   T69] usb 1-1: config 128 interface 48 altsetting 138 endpoint 0x6 has an invalid bInterval 255, changing to 7
[  232.597009][   T69] usb 1-1: config 128 interface 48 altsetting 138 has an invalid descriptor for endpoint zero, skipping
[  232.600809][   T69] usb 1-1: config 128 interface 48 altsetting 138 endpoint 0x8F has invalid maxpacket 4096, setting to 1024
[  232.604640][   T69] usb 1-1: config 128 interface 48 altsetting 138 bulk endpoint 0x8F has invalid maxpacket 1024
[  232.608164][   T69] usb 1-1: config 128 interface 48 altsetting 138 endpoint 0xE has invalid wMaxPacketSize 0
[  232.611654][   T69] usb 1-1: config 128 interface 48 altsetting 138 has an invalid descriptor for endpoint zero, skipping
[  232.615294][   T69] usb 1-1: config 128 interface 48 altsetting 138 bulk endpoint 0x2 has invalid maxpacket 128
[  232.618778][   T69] usb 1-1: config 128 interface 48 altsetting 138 has a duplicate endpoint with address 0x2, skipping
[  232.620483][ T3968] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  232.622388][   T69] usb 1-1: config 128 interface 48 has no altsetting 0
[  232.627297][ T3968] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  232.634037][   T69] usb 1-1: New USB device found, idVendor=07ca, idProduct=b800, bcdDevice=d3.2a
[  232.637040][   T69] usb 1-1: New USB device strings: Mfr=5, Product=3, SerialNumber=255
[  232.639735][   T69] usb 1-1: Product: syz
[  232.641228][   T69] usb 1-1: Manufacturer: syz
[  232.642868][   T69] usb 1-1: SerialNumber: syz
[  232.681755][ T3970] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  232.685171][ T3970] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  232.758802][ T3972] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  232.761851][ T3972] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  232.845921][ T3974] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  232.849439][ T3974] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  232.857200][   T69] ------------[ cut here ]------------
[  232.859193][   T69] usb 1-1: BOGUS urb xfer, pipe 1 != type 3
[  232.863309][   T69] WARNING: CPU: 2 PID: 69 at drivers/usb/core/urb.c:503 usb_submit_urb+0x1458/0x1760
[  232.866534][   T69] Modules linked in:
[  232.868176][   T69] CPU: 2 UID: 0 PID: 69 Comm: kworker/2:1 Tainted: G        W          6.13.0-rc7 #1
[  232.871404][   T69] Tainted: [W]=WARN
[  232.872825][   T69] Hardware name: QEMU Standard PC (i440FX + PIIX, 1996), BIOS 1.13.0-1ubuntu1.1 04/01/2014
[  232.876278][   T69] Workqueue: usb_hub_wq hub_event
[  232.878112][   T69] RIP: 0010:usb_submit_urb+0x1458/0x1760
[  232.880138][   T69] Code: 24 10 e8 9b 32 46 fb 48 8b 7c 24 10 e8 21 1e 1a ff 41 89 d8 44 89 e1 4c 89 ea 48 89 c6 48 c7 c7 00 fb 51 a2 e8 59 be 0b fb 90 <0f> 0b 90 90 e9 d9 f2 ff ff e8 6a 32 46 fb 0f 1f 44 00 00 e9 4c fa
[  232.886788][   T69] RSP: 0018:ffa00000004a6e80 EFLAGS: 00010286
[  232.889247][   T69] RAX: 0000000000000000 RBX: 0000000000000003 RCX: ffffffff996f295a
[  232.892772][   T69] RDX: 0000000000000001 RSI: ff11000002cb8000 RDI: 0000000000000002
[  232.896276][   T69] RBP: ff1100000289b000 R08: fffffbfff47b8800 R09: fff3fc0000094d81
[  232.899754][   T69] R10: fff3fc0000094d80 R11: ffa00000004a6c07 R12: 0000000000000001
[  232.903242][   T69] R13: ff11000027727aa0 R14: ff1100000289b07c R15: 0000000000000002
[  232.906483][   T69] FS:  0000000000000000(0000) GS:ff11000053b00000(0000) knlGS:0000000000000000
[  232.910299][   T69] CS:  0010 DS: 0000 ES: 0000 CR0: 0000000080050033
[  232.913182][   T69] CR2: 0000001b2f15ffff CR3: 000000001ebb0001 CR4: 0000000000771ef0
[  232.916117][   T69] PKRU: 55555554
[  232.917446][   T69] Call Trace:
[  232.918663][   T69]  <TASK>
[  232.919787][   T69]  ? __warn+0xea/0x3d0
[  232.921309][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  232.923307][   T69]  ? usb_submit_urb+0x1458/0x1760
[  232.925189][   T69]  ? report_bug+0x386/0x5e0
[  232.926888][   T69]  ? usb_submit_urb+0x1458/0x1760
[  232.928698][   T69]  ? usb_submit_urb+0x1459/0x1760
[  232.930479][   T69]  ? handle_bug+0xe5/0x180
[  232.932854][   T69]  ? exc_invalid_op+0x35/0x80
[  232.935425][   T69]  ? asm_exc_invalid_op+0x1a/0x20
[  232.937309][   T69]  ? __warn_printk+0x17a/0x310
[  232.939225][   T69]  ? usb_submit_urb+0x1458/0x1760
[  232.941073][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  232.943063][   T69]  ? __init_swait_queue_head+0xca/0x150
[  232.945293][   T69]  usb_start_wait_urb+0x101/0x4b0
[  232.947298][   T69]  ? __pfx_usb_start_wait_urb+0x10/0x10
[  232.950083][   T69]  ? sctp_ootb_pkt_new+0x400/0x440
[  232.952491][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  232.955106][   T69]  ? __asan_memset+0x24/0x50
[  232.957296][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  232.959863][   T69]  usb_bulk_msg+0x22b/0x550
[  232.961914][   T69]  amradio_send_cmd+0x2dc/0x810
[  232.964041][   T69]  ? lockdep_init_map_type+0x2cb/0x7f0
[  232.966477][   T69]  ? __pfx_amradio_send_cmd+0x10/0x10
[  232.968912][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  232.971454][   T69]  ? read_word_at_a_time+0xe/0x20
[  232.973725][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  232.975669][   T69]  ? sized_strscpy+0xa1/0x2f0
[  232.977419][   T69]  usb_amradio_probe+0x4a2/0x8b0
[  232.979218][   T69]  usb_probe_interface+0x309/0xa10
[  232.981120][   T69]  ? __pfx_usb_probe_interface+0x10/0x10
[  232.983244][   T69]  really_probe+0x253/0x990
[  232.984926][   T69]  __driver_probe_device+0x1df/0x450
[  232.986803][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  232.988798][   T69]  driver_probe_device+0x4c/0x1a0
[  232.990635][   T69]  __device_attach_driver+0x1e4/0x2d0
[  232.992749][   T69]  bus_for_each_drv+0x14c/0x1d0
[  232.994634][   T69]  ? __pfx___device_attach_driver+0x10/0x10
[  232.997232][   T69]  ? __pfx_bus_for_each_drv+0x10/0x10
[  232.999452][   T69]  ? _raw_spin_unlock_irqrestore+0x58/0x70
[  233.001780][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  233.003848][   T69]  ? lockdep_hardirqs_on+0x7c/0x110
[  233.005932][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  233.008030][   T69]  ? _raw_spin_unlock_irqrestore+0x41/0x70
[  233.010249][   T69]  __device_attach+0x287/0x490
[  233.012056][   T69]  ? __pfx___device_attach+0x10/0x10
[  233.014142][   T69]  ? write_comp_data+0x29/0x90
[  233.016069][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  233.018432][   T69]  ? do_raw_spin_unlock+0x53/0x250
[  233.020489][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  233.022639][   T69]  ? __sanitizer_cov_trace_pc+0x20/0x60
[  233.025067][   T69]  bus_probe_device+0x17e/0x1c0
[  233.027195][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  233.029648][   T69]  device_add+0x10af/0x17e0
[  233.031684][   T69]  ? __pfx_device_add+0x10/0x10
[  233.035426][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  233.037796][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  233.039816][   T69]  ? write_comp_data+0x29/0x90
[  233.041750][   T69]  usb_set_configuration+0x1081/0x1b20
[  233.044191][   T69]  ? __pfx_usb_generic_driver_probe+0x10/0x10
[  233.046788][   T69]  usb_generic_driver_probe+0xb7/0x110
[  233.048978][ T3976] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  233.049241][ T3976] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  233.052385][   T69]  usb_probe_device+0xec/0x3e0
[  233.056419][   T69]  ? __pfx_usb_probe_device+0x10/0x10
[  233.058325][   T69]  really_probe+0x253/0x990
[  233.060003][   T69]  __driver_probe_device+0x1df/0x450
[  233.061868][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  233.063766][ T3978] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  233.064414][ T3978] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  233.066514][   T69]  driver_probe_device+0x4c/0x1a0
[  233.070739][   T69]  __device_attach_driver+0x1e4/0x2d0
[  233.072668][   T69]  bus_for_each_drv+0x14c/0x1d0
[  233.075216][   T69]  ? __pfx___device_attach_driver+0x10/0x10
[  233.077325][   T69]  ? __pfx_bus_for_each_drv+0x10/0x10
[  233.079246][   T69]  ? _raw_spin_unlock_irqrestore+0x58/0x70
[  233.081341][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  233.083309][   T69]  ? lockdep_hardirqs_on+0x7c/0x110
[  233.085185][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  233.087165][   T69]  ? _raw_spin_unlock_irqrestore+0x41/0x70
[  233.089260][   T69]  __device_attach+0x287/0x490
[  233.090974][   T69]  ? __pfx___device_attach+0x10/0x10
[  233.091850][ T3980] UDC core: USB Raw Gadget: couldn't find an available UDC or it's busy
[  233.092817][   T69]  ? write_comp_data+0x29/0x90
[  233.095671][ T3980] misc raw-gadget: fail, usb_gadget_register_driver returned -16
[  233.097006][   T69]  ? srso_alias_return_thunk+0x5/0xfbef5
[  233.101284][   T69]  ? do_raw_spin_unlock+0x53/0x250
